paper_id,title,abstract,source_type,created_at
PMC2876325,S-layer stabilized lipid membranes (Review),"The present review focuses on a unique bio-molecular construction kit based on surface-layer (S-layer) proteins as building blocks and patterning elements, but also major classes of biological molecules such as lipids, membrane-active peptides and membrane proteins, and glycans for the design of functional supported lipid membranes. The biomimetic approach copying the supramolecular building principle of most archaeal cell envelopes merely composed of a plasma membrane and a closely associated S-layer lattice has resulted in robust and fluid lipid membranes. Most importantly, S-layer supported lipid membranes spanning an aperture or generated on solid and porous substrates constitute highly interesting model membranes for the reconstitution of responsive transmembrane proteins and membrane-active peptides. This is of particular challenge as one-third of all proteins are membrane proteins such as pore-forming proteins, ion channels, and receptors. S-layer supported lipid membranes are seen as one of the most innovative strategies in membrane protein-based nanobiotechnology with potential applications that range from pharmaceutical (high-throughput) drug screening over lipid chips to the detection of biological warfare agents.",pubmed,2025-05-17 11:13:40.545
PMC1852221,Connective tissue growth factor (CTGF) expression and outcome in adult patients with acute lymphoblastic leukemia,"We compared the gene expression profile of adult acute lymphoblastic leukemia (ALL) to normal hematopoietic and non-ALL samples using oligonucleotide arrays. Connective tissue growth factor (CTGF) was the highest overexpressed gene in B-cell ALL compared with the other groups, and displayed heterogeneous expression, suggesting it might have prognostic relevance. CTGF expression was examined by quantitative reverse transcriptase–polymerase chain reaction (QRT-PCR) on 79 adult ALL specimens. CTGF expression levels were significantly increased in ALL cases with B-lineage ( P < .001), unfavorable cytogenetics ( P < .001), and blasts expressing CD34 ( P < .001). In a multivariate proportional hazards model, higher CTGF expression levels corresponded to worsening of overall survival (OS; hazard ratio 1.36, for each 10-fold increase in expression; P = .019). Further studies are ongoing to confirm the prognostic value of CTGF expression in ALL and to investigate its role in normal and abnormal lymphocyte biology.",pubmed,2025-05-17 11:22:00.604
PMC7080052,Diagnosis of severe respiratory infections in immunocompromised patients,"An increasing number of critically ill patients are immunocompromised. Acute hypoxemic respiratory failure (ARF), chiefly due to pulmonary infection, is the leading reason for ICU admission. Identifying the cause of ARF increases the chances of survival, but may be extremely challenging, as the underlying disease, treatments, and infection combine to create complex clinical pictures. In addition, there may be more than one infectious agent, and the pulmonary manifestations may be related to both infectious and non-infectious insults. Clinically or microbiologically documented bacterial pneumonia accounts for one-third of cases of ARF in immunocompromised patients. Early antibiotic therapy is recommended but decreases the chances of identifying the causative organism(s) to about 50%. Viruses are the second most common cause of severe respiratory infections. Positive tests for a virus in respiratory samples do not necessarily indicate a role for the virus in the current acute illness. Invasive fungal infections ( Aspergillus , Mucorales , and Pneumocystis jirovecii ) account for about 15% of severe respiratory infections, whereas parasites rarely cause severe acute infections in immunocompromised patients. This review focuses on the diagnosis of severe respiratory infections in immunocompromised patients. Special attention is given to newly validated diagnostic tests designed to be used on non-invasive samples or bronchoalveolar lavage fluid and capable of increasing the likelihood of an early etiological diagnosis. Electronic supplementary material The online version of this article (10.1007/s00134-019-05906-5) contains supplementary material, which is available to authorized users.",pubmed,2025-05-17 11:22:03.451
PMC7395236,Assessment of SARS-CoV-2 Screening Strategies to Permit the Safe Reopening of College Campuses in the United States,"Key Points Question What screening and isolation programs for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) will keep students at US residential colleges safe and permit the reopening of campuses? Findings This analytic modeling study of a hypothetical cohort of 4990 college-age students without SARS-CoV-2 infection and 10 students with undetected asymptomatic cases of SARS-CoV-2 infection suggested that frequent screening (every 2 days) of all students with a low-sensitivity, high-specificity test might be required to control outbreaks with manageable isolation dormitory utilization at a justifiable cost. Meaning In this modeling study, symptom-based screening alone was not sufficient to contain an outbreak, and the safe reopening of campuses in fall 2020 may require screening every 2 days, uncompromising vigilance, and continuous attention to good prevention practices.",pubmed,2025-05-17 11:22:05.545
PMC7003694,Cross-cultural adaptation and validation of the Romanian International Knee Documentation Committee—subjective knee form,"Aim We aimed to translate and cross-culturally adapt the International Knee Documentation Committee—subjective knee form (IKDC) in Romanian. Method The original (US) IKDC—subjective knee form was translated according to recommended guidelines. Validity was tested using Spearmans’s correlation coefficient between score sand test-retest reproducibility. Reliability and internal consistency were determined using Cronbach’s alpha coefficient and intraclass correlation coefficient (ICC). Results A total of 106 data sets were available for processing. The average age was 52 years and the male to female ratio was 40:66. Fifty-five subjects repeated the form after an average of 4 days. There were no floor or ceiling effects (range 3.4–74.7). There was a strong correlation between the first and repeated administration of the IKDC—subjective knee form ( r = 0.816, n = 50) and moderate compared to Tegner-Lysholm knee rating scale ( r = 0.506, n = 102), KOOSJR (Knee disability and Osteoarthritis Outcome Score for Joint Replacement, r =  − 0.622, n = 96), EuroqolEQ-5D-5L Index ( r = 0.633, n = 100) and visual analogue scale VAS ( r = 0.484, n = 99). Internal consistency was moderate with Cronbach’s alpha 0.611 ( n = 102) and ICC 0.611 for average measures (95% CI 0.493–0.713). Conclusion The Romanian translation of the IKDC—subjective knee form is a valid, consistent and reproducible outcome measure in patients with knee pain and dysfunction.",pubmed,2025-05-17 11:22:07.900
PMC2847693,Gene Expression Studies in Major Depression,"The dramatic technical advances in methods to measure gene expression on a genome-wide level thus far have not been paralleled by breakthrough discoveries in psychiatric disorders—including major depression (MD)—using these hypothesis-free approaches. In this review, we first describe the methodologic advances made in gene expression analysis, from quantitative polymerase chain reaction to next-generation sequencing. We then discuss issues in gene expression experiments specific to MD, ranging from the choice of target tissues to the characterization of the case group. We provide a synopsis of the gene expression studies published thus far for MD, with a focus on studies using mRNA microarray methods. Finally, we discuss possible new strategies for the gene expression studies in MD that circumvent some of the addressed issues.",pubmed,2025-05-17 11:22:10.217
PMC2769033,Exercise on prescription for women aged 40-74 recruited through primary care: two year randomised controlled trial,"Objective To assess the effectiveness of a primary care based programme of exercise on prescription among relatively inactive women over a two year period. Design Randomised controlled trial. Setting 17 primary care practices in Wellington, New Zealand Participants 1089 women aged 40-74 not undertaking 30 minutes of moderate intensity physical activity on at least five days of the week Intervention Brief physical activity intervention led by nurse with six month follow-up visit and monthly telephone support over nine months. Main outcome measure Physical activity assessed at baseline and 12 and 24 months. Secondary outcomes were quality of life (SF-36), weight, waist circumference, blood pressure, concentrations of fasting serum lipids, glycated haemoglobin (HbA 1c ), glucose, insulin, and physical fitness. Results Mean age was 58.9 (SD 7) years. Trial retention rates were 93% and 89% at 12 and 24 months, respectively. At baseline, 10% of intervention participants and 11% of control participants were achieving 150 minutes of at least moderate intensity physical activity a week. At 12 months rates increased to 43% and 30% and at 24 months to 39.3% and 32.8% (P<0.001), respectively. SF-36 physical functioning (P=0.03) and mental health (P<0.05) scores improved more in intervention compared with control participants, but role physical scores were significantly lower (P<0.01). There were no significant differences in clinical outcomes. More falls (P<0.001) and injuries (P=0.03) were recorded in the intervention group. Conclusions This programme of exercise on prescription increased physical activity and quality of life over two years, although falls and injuries also increased. This finding supports the use of exercise on prescription programmes as part of population strategies to reduce physical inactivity. Trial registration Australian New Zealand Clinical Trials Registry (ANZCTR) ANZCTRN012605000490673.",pubmed,2025-05-17 11:22:14.952
PMC400215,A New Vision for the National Institutes of Health,,pubmed,2025-05-17 11:22:17.806
PMC243493,PUBLIC HEALTH: Grand Challenges in Global Health,"This week an international panel announces a list of 14 Grand Challenges in
Global Health, and scientists throughout the world will be invited to submit
grant proposals to pursue them with funds provided by the Bill & Melinda
Gates Foundation. We describe the characteristics of these challenges and the
process by which they were formulated and selected after receiving over 1000
responses to a ""call for ideas"" from the scientific community.",pubmed,2025-05-17 11:22:19.939
PMC2291284,Genetic interactions between ,"Menin is a tumor suppressor required to prevent multiple endocrine neoplasia in humans. Mammalian menin protein is associated with chromatin modifying complexes and has been shown to bind a number of nuclear proteins, including the transcription factor JunD. Menin shows bidirectional effects acting positively on c-Jun and negatively on JunD. We have produced protein null alleles of Drosophila menin ( mnn1 ) and have over expressed the Mnn1 protein. Flies homozygous for protein-null mnn1 alleles are viable and fertile. Localized over-expression of Mnn1 causes defects in thoracic closure, a phenotype that sometimes results from insufficient Jun activity. We observed complex genetic interactions between mnn1 and jun in different developmental settings. Our data support the idea that one function of menin is to modulate Jun activity in a manner dependent on the cellular context.",pubmed,2025-05-17 11:22:22.304
